Command,Link,Description
show aaa auth-survivability,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-surv.htm,This command displays the authentication survivability configuration on a stand-alone controller.
show aaa auth-survivability-cache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-cach.htm,This command displays the authentication survivability cached data on a stand-alone controller.
show aaa authentication all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-all.htm,"This command displays a general overview of authentication statistics for a gateway, including authentication methods, successes and failures."
show aaa authentication captive-portal customization,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-ath-cp-cz.htm,This command displays a list of captive portal profiles for the gateway and whether any profile is customized with non-default settings.
show aaa authentication dot1x,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-dot1.htm,"This command displays information for 802.1X authentication profiles for a gateway. The command displays the entire 802.1X Authentication profile list, including profile status and the number of references to each profile. Include a profile name to display detailed dot1x authentication configuration information for that profile. The countermeasures option indicates whether the 802.1X profiles have been configured for WPA/WPS2 countermeasures. If countermeasures have not been configured, the output for this command will be blank."
show aaa authentication-server all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-ath-srv-al.htm,"This command displays the authentication server settings for both external authentication servers and the internal controller database. The output of this command displays statistics for the Authentication Server Table, including the name and address of each server, server type and configured authorization and accounting ports."
show aaa authentication-server internal,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-intv.htm,This command displays the authentication server settings for the internal controller database.
show aaa authentication-server ldap statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-ldap.htm,This command displays the configuration settings related to statistics of all LDAP servers.
show aaa authentication-server radius,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-radi.htm,This command displays the configuration settings of RADIUS servers.
show aaa authentication-server tacacs,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-tacs.htm,This command displays configuration settings for your TACACS+ servers.
show aaa authentication-server tacacs statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaaauth-tacacs-stat.htm,"This command displays accounting, authorization, and authentication request and response statistics for the TACACS server."
show aaa authentication via global-config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-aaa-auth-via-glbl-cnfg.htm,This command displays the details of the VIA global configuration.
show aaa authentication vpn,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-vpn.htm,This command displays a list of VPN profiles and VPN authentication settings for the gateway. It also indicates whether any profile is customized with non-default settings.
show aaa authentication vpn,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-vpn-default.htm,This command displays VPN authentication settings for default VPN Authentication profiles.
show aaa authentication vpn default,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-authvpndf.htm,"This command displays VPN authentication settings, including authentication roles and servers."
show aaa authentication vpn default-cap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-vpn-default-cap.htm,"This command displays VPN authentication settings, including authentication roles and servers for default cap device profiles."
show aaa authentication vpn default-cap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-auth-vpndfcap.htm,"This command displays VPN authentication settings, including authentication roles and servers. Issue this command to identify the default role assigned to VPN users, the name of the group of servers used to authenticate the VPN users, and the maximum number of authentication failures allowed before the user is blacklisted."
show aaa authentication vpn default-rap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-auth-vpn-default-rap.htm,"This command displays VPN authentication settings, including authentication roles and servers for default RAP profiles."
show aaa authentication vpn default-rap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-authvpnrap.htm,"This command displays VPN authentication settings, including authentication roles and servers. Issue this command to identify the default role assigned to VPN users, the name of the group of servers used to authenticate the VPN users, and the maximum number of authentication failures allowed before the user is blacklisted."
show aaa bandwidth-contracts,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-bdwd-cont.htm,"This command displays the contract names, ID numbers, Rate limits, and Note for your bandwidth contracts."
show aaa cluster essid,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-cl-essid.htm,This command displays information of the bucketmap details and the counters of an ESSID.
show aaa derivation-rules server-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-derv-rulegrp.htm,This command displays derivation rules based on user information or configured for server groups.
show aaa derivation-rules user,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-derv-rule.htm,This command displays derivation rules based on user information.
show aaa fqdn-server-names,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-fqdn-name.htm,This command displays a table of IP addresses that have been mapped to fully qualified domain names (FQDNs).
show aaa radius-attributes,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-rad-attr.htm,This command displays RADIUS attributes recognized by the controller.
show aaa server-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-srvr-grp.htm,This command displays configuration details for your AAA server groups.
show aaa state ap-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-st-ap-grp.htm,This command displays the names and ID numbers of your AP groups.
show aaa state configuration,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-st-conf.htm,"This command displays authentication state configuration information, including the numbers of successful and failed authentications."
show aaa state debug-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-st-dbg-st.htm,"This command displays debug statistics for Gateway authentication, authorization and accounting."
show aaa state messages,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-aaa-st-msg.htm,This command displays numbers of authentication messages sent and received.
