Command,Link,Description,Preprocessed_Description
aaa alias-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-als-grp.htm,This command configures a AAA alias with set of VLAN derivation rules that could speed up user rule derivation processing for deployments with a very large number of UDRs.,configures aaa alias set vlan derivation rules could speed user rule derivation processing deployments large number udrs
aaa authentication captive-portal,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-auth-cptv-prtl.htm,"This command configures the Captive Portal authentication profile in the base operating system or with the PEFNG license installed. When you configure the profile in the base operating system, the name of the profile must be entered for the initial role in the AAA profile. Also, when you configure the profile in the base operating system, you cannot define the default-role.",configures captive portal authentication profile base operating system pefng license installed configure profile base operating system name profile must entered initial role aaa profile also configure profile base operating system define
aaa authentication dot1x,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-auth-dot1x.htm,This command configures the 802.1X authentication profile and allows you to enable and configure machine authentication and 802.1X termination on the managed device (also called AAA FastConnect).,configures authentication profile allows enable configure machine authentication termination managed device also called aaa fastconnect
aaa authentication mac,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-auth-mac.htm,"This command configures the MAC authentication profile, which configures authentication of devices based on their physical MAC address. MAC-based authentication is often used to authenticate and allow network access through certain devices while denying access to all other devices. Users may be required to authenticate themselves using other methods, depending on the network privileges.",configures mac authentication profile configures authentication devices based physical mac address authentication often used authenticate allow network access certain devices denying access devices users may required authenticate using methods depending network privileges
aaa authentication mgmt,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-auth-mgmt.htm,"This command configures authentication for administrative users. If you enable authentication with this command, users configured with the mgmt-user command must be authenticated using the specified server-group.",configures authentication administrative users enable authentication users configured must authenticated using specified
aaa authentication-server internal,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authsrv-int.htm,This command specifies that the internal database on a managed device must be used for authenticating clients.,specifies internal database managed device must used authenticating clients
aaa auth-survivability,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-auth-srvl.htm,This command configures authentication survivability on a  managed device.,configures authentication survivability managed device
aaa authentication-server ldap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authsrv-ldap.htm,This command configures an LDAP server. You configure a server before you can add it to one or more server groups. You create a server group for a specific type of authentication (see aaa server-group on page 1).,configures ldap server configure server add one server groups create server group specific type authentication see aaa page 1
aaa authentication-server radius,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authsrv-rdus.htm,This command configures a RADIUS server. You can configure a server before you can add it to one or more server groups. You can create a server group for a specific type of authentication (see aaa server-group on page 1).,configures radius server configure server add one server groups create server group specific type authentication see aaa page 1
aaa authentication-server tacacs,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos8/aaa-authsrv-tacs.htm,This command configures a TACACS+ server. You can configure a server before you can add it to one or more server groups. You can create a server group for a specific type of authentication (see aaa server-group on page 1).,configures server configure server add one server groups create server group specific type authentication see aaa page 1
